year,month,country,type,flavor,location,unknown,masa,sales
2019,Jan,Mexico,Regular,Cajeta,E. Privados,ABYT055818,Atole mix,41.21
2019,Feb,Mexico,Regular,Cajeta,E. Privados,ABYT055818,Atole mix,83.69
2019,Apr,Mexico,Regular,Cajeta,E. Privados,ABYT055818,Atole mix,44.06
2019,May,Mexico,Regular,Cajeta,E. Privados,ABYT055818,Atole mix,0.00
2019,Jun,Mexico,Regular,Cajeta,E. Privados,ABYT055818,Atole mix,0.00
2019,Jul,Mexico,Regular,Cajeta,E. Privados,ABYT055818,Atole mix,0.00
2019,Aug,Mexico,Regular,Cajeta,E. Privados,ABYT055818,Atole mix,0.00
2019,Jan,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,15695.84
2019,Jan,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,6729.45
2019,Feb,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,-73.67
2019,Feb,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,13781.84
2019,Feb,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,2529.36
2019,Feb,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,15976.14
2019,Feb,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
2019,Feb,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,-350.26
2019,Feb,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,5765.50
2019,Feb,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
2019,Mar,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
2019,Mar,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
2019,Mar,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
2019,Mar,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
2019,Apr,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
2019,Apr,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,17765.94
2019,Apr,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,3910.69
2019,Apr,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,-0.77
2019,Apr,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,16489.96
2019,May,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
2019,May,Mexico,Regular,Dulce,E. Privados,206050084,Tamal mix,0.00
