year,month,country,type,flavor,location,unknown,masa,sales
2019,Aug,Mexico,Regular,Cajeta,Sur,ABYT055818,Atole mix,2507.89
2019,Sep,Mexico,Regular,Cajeta,Sur,ABYT055818,Atole mix,2823.07
2019,Nov,Mexico,Regular,Cajeta,Sur,ABYT055818,Atole mix,512.72
2020,May,Mexico,Regular,Cajeta,Sur,ABYT055818,Atole mix,0.00
2019,Feb,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,405756.45
2019,Mar,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Apr,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Apr,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,May,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,40429.95
2019,May,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,361962.01
2019,Jun,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Jun,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,55954.92
2019,Aug,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,92029.29
2019,Aug,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Aug,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,1197569.97
2019,Sep,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Nov,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Nov,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Nov,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Nov,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Nov,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Nov,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Dec,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,95636.75
2019,Dec,Mexico,Regular,Dulce,Sur,206050084,Tamal mix,0.00
2019,Feb,Mexico,Regular,Arroz,Sur,ABYT057271,Atole mix,0.00
2019,Oct,Mexico,Regular,Arroz,Sur,ABYT057271,Atole mix,0.00
2020,Jun,Mexico,Regular,Arroz,Sur,ABYT057271,Atole mix,666849.69
2019,Jan,Mexico,Regular,Verde,Sur,206054370,Tamal mix,0.00
