year,month,country,type,flavor,location,unknown,masa,sales
2019,Dec,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,0.00
2020,May,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,0.00
2019,Jan,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,126993.08
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,633.22
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,61.65
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3266.64
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,21389.12
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1029.17
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.48
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,685.48
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4294.47
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,28.98
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4901.02
2019,Mar,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-256.13
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,818.73
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,14533.99
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Apr,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,15112.01
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,May,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Jun,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,38789.44
2019,Jun,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Jun,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,10142.77
2019,Jul,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,17500.17
2019,Jul,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Jul,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Jul,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,6118.35
2019,Aug,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,34936.79
2019,Aug,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Aug,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,10195.85
2019,Aug,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Aug,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Sep,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Sep,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Sep,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3713.28
2019,Sep,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,21841.06
2019,Sep,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
2019,Oct,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,94512.72
2019,Oct,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.00
