region_id,product_id,year,month,sales,type,vendor,flavor,manufacturer,country,location
446676598784,360777252864,2019,Apr,647845.17,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2020,Feb,67491.59,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2018,Jan,505650.74,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2019,Dec,123816.42,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2019,Sep,663549.31,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2020,May,35412.56,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2018,Feb,544217.96,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2019,Feb,585670.58,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2018,Aug,643685.14,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2020,Jan,83004.02,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2019,Jun,829689.00,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2020,Apr,39162.27,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2019,Oct,250358.47,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2019,May,697927.35,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2018,Apr,615297.75,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2020,Mar,67502.87,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2018,Jul,605607.97,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2018,Mar,716245.17,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2018,Oct,603124.45,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
446676598784,360777252864,2019,Mar,777251.22,Regular,Atole mix Cajeta,Atole mix Cajeta,Tamales Inc,Mexico,Norte
