region_id,product_id,year,month,sales,type,vendor,flavor,manufacturer,country,location
446676598784,833223655424,2019,Feb,19752487.55,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Jan,19388230.93,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Nov,20663616.18,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Oct,20480754.27,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Oct,20790264.96,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Dec,25769594.21,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,May,22684694.06,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Nov,19628792.29,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Feb,18435775.61,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Jul,22955238.70,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Aug,22861023.61,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Dec,23273877.16,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Sep,27252231.82,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Jul,21225177.25,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Mar,24119168.81,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Jan,17778721.65,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Mar,23940086.14,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2020,Apr,15464115.06,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Sep,27700944.72,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Aug,23100876.39,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2020,Feb,20126873.39,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Jun,29490527.06,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2018,Apr,20984935.22,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
446676598784,833223655424,2019,Apr,20809344.54,Regular,Tamal mix Verde,Tamal mix Verde,Tamales Inc,Mexico,Norte
